model,song,condition,effect,level,sdr_wet,sdr_dry
spleeter,AM_Contra_-_Heart_Peripheral,bitcrush_l3,bitcrush,3,9.017118343104723,7.997680945480974
demucs,AM_Contra_-_Heart_Peripheral,bitcrush_l4,bitcrush,4,10.040785038085499,8.632369602024486
spleeter,AM_Contra_-_Heart_Peripheral,bitcrush_l4,bitcrush,4,8.721846623096356,7.949936276800923
demucs,AM_Contra_-_Heart_Peripheral,compression_l1,compression,1,11.301610116094675,11.04341779170545
spleeter,AM_Contra_-_Heart_Peripheral,compression_l1,compression,1,9.596181616068622,9.50639233605102
demucs,AM_Contra_-_Heart_Peripheral,compression_l2,compression,2,11.026573678939132,8.998205532124759
spleeter,AM_Contra_-_Heart_Peripheral,compression_l2,compression,2,9.147164017366517,7.91533135086667
demucs,AM_Contra_-_Heart_Peripheral,compression_l3,compression,3,10.960978421186109,7.289582197907322
spleeter,AM_Contra_-_Heart_Peripheral,compression_l3,compression,3,9.011436858998106,6.507545781732842
demucs,AM_Contra_-_Heart_Peripheral,compression_l4,compression,4,11.222800301974214,6.639046399754861
spleeter,AM_Contra_-_Heart_Peripheral,compression_l4,compression,4,9.229521380980925,5.969948798896226
demucs,AM_Contra_-_Heart_Peripheral,delay_l1,delay,1,10.799935452652903,7.14971799345327
spleeter,AM_Contra_-_Heart_Peripheral,delay_l1,delay,1,9.199753194078347,6.243809828561018
demucs,AM_Contra_-_Heart_Peripheral,delay_l2,delay,2,9.580021510990239,5.563221959609553
spleeter,AM_Contra_-_Heart_Peripheral,delay_l2,delay,2,8.35753348271337,4.662068321484175
demucs,AM_Contra_-_Heart_Peripheral,delay_l3,delay,3,8.10180668139989,4.542328189399249
spleeter,AM_Contra_-_Heart_Peripheral,delay_l3,delay,3,7.527219067167845,3.892565341335991
demucs,AM_Contra_-_Heart_Peripheral,delay_l4,delay,4,7.302665324358574,3.7602902145597437
spleeter,AM_Contra_-_Heart_Peripheral,delay_l4,delay,4,6.691260328211021,3.3722948307943152
demucs,AM_Contra_-_Heart_Peripheral,original,original,0,11.434525675144606,11.434525675144606
spleeter,AM_Contra_-_Heart_Peripheral,original,original,0,9.787474493685657,9.787474493685657
demucs,AM_Contra_-_Heart_Peripheral,reverb_l1,reverb,1,11.09211695012932,9.095275255292496
spleeter,AM_Contra_-_Heart_Peripheral,reverb_l1,reverb,1,9.491155082618024,7.813402617205475
demucs,AM_Contra_-_Heart_Peripheral,reverb_l2,reverb,2,9.431312168336547,2.1658920966147672
spleeter,AM_Contra_-_Heart_Peripheral,reverb_l2,reverb,2,8.32516358733826,1.7201170714487068
demucs,AM_Contra_-_Heart_Peripheral,reverb_l3,reverb,3,8.751743337122821,-1.2674169102137356
spleeter,AM_Contra_-_Heart_Peripheral,reverb_l3,reverb,3,8.241042087364713,-1.4569749827596947
demucs,AM_Contra_-_Heart_Peripheral,reverb_l4,reverb,4,8.590266609985305,-2.20046837894854
spleeter,AM_Contra_-_Heart_Peripheral,reverb_l4,reverb,4,8.43205021108006,-2.397282700315065
demucs,Arise_-_Run_Run_Run,bitcrush_l1,bitcrush,1,11.36135918177975,10.329610715631494
spleeter,Arise_-_Run_Run_Run,bitcrush_l1,bitcrush,1,5.625262196647287,5.46649432303056
demucs,Arise_-_Run_Run_Run,bitcrush_l2,bitcrush,2,11.331691781271182,10.313258775177594
spleeter,Arise_-_Run_Run_Run,bitcrush_l2,bitcrush,2,5.5974656050290115,5.440981704798022
demucs,Arise_-_Run_Run_Run,bitcrush_l3,bitcrush,3,11.24868237089845,10.314101912802458
spleeter,Arise_-_Run_Run_Run,bitcrush_l3,bitcrush,3,5.410990284486738,5.266594106605148
demucs,Arise_-_Run_Run_Run,bitcrush_l4,bitcrush,4,10.516320953011334,10.096839947092668
spleeter,Arise_-_Run_Run_Run,bitcrush_l4,bitcrush,4,4.853543296795384,4.804076952052022
demucs,Arise_-_Run_Run_Run,compression_l1,compression,1,11.485099644746406,11.388375057301792
spleeter,Arise_-_Run_Run_Run,compression_l1,compression,1,5.5880923020182625,5.664515476680813
demucs,Arise_-_Run_Run_Run,compression_l2,compression,2,11.114422009268154,9.564694763338492
spleeter,Arise_-_Run_Run_Run,compression_l2,compression,2,5.18145111535686,4.897947572632916
demucs,Arise_-_Run_Run_Run,compression_l3,compression,3,10.722347592317366,8.050589811663771
spleeter,Arise_-_Run_Run_Run,compression_l3,compression,3,4.814664004065496,4.227241193148962
demucs,Arise_-_Run_Run_Run,compression_l4,compression,4,10.305789086848495,7.20584536839068
spleeter,Arise_-_Run_Run_Run,compression_l4,compression,4,4.28998652224117,3.566776604257612
demucs,Arise_-_Run_Run_Run,delay_l1,delay,1,10.961124361452379,7.111053016314079
spleeter,Arise_-_Run_Run_Run,delay_l1,delay,1,5.729481961070148,4.127213985331407
demucs,Arise_-_Run_Run_Run,delay_l2,delay,2,10.263451526622875,5.3798343062679574
spleeter,Arise_-_Run_Run_Run,delay_l2,delay,2,5.253749986034844,3.2191587419967904
