model,song,condition,effect,level,stem,sdr,si_sdr,delta_sdr,delta_si_sdr
spleeter,Al_James_-_Schoolboy_Facination,bitcrush_l4,bitcrush,4,other,2.070881847325147,-0.6327474216307188,-0.09768755327567202,-0.1073848512549972
spleeter,Al_James_-_Schoolboy_Facination,compression_l1,compression,1,vocals,6.397661173949066,5.271474257761787,-0.04020167645993933,-0.05169512934760512
spleeter,Al_James_-_Schoolboy_Facination,compression_l1,compression,1,drums,4.171882542275805,2.113637880965799,-0.06663136518818025,-0.10351658136745767
spleeter,Al_James_-_Schoolboy_Facination,compression_l1,compression,1,bass,5.366992661862707,3.892081116429601,-0.026982752246821562,-0.037355572800458425
spleeter,Al_James_-_Schoolboy_Facination,compression_l1,compression,1,other,2.2110987693611777,-0.5047370433472641,0.04252936876035873,0.020625527028457546
spleeter,Al_James_-_Schoolboy_Facination,compression_l2,compression,2,vocals,6.371027761450788,5.236515601797448,-0.06683508895821699,-0.08665378531194357
spleeter,Al_James_-_Schoolboy_Facination,compression_l2,compression,2,drums,4.044091982876477,1.9177699763829348,-0.19442192458750807,-0.2993844859503221
spleeter,Al_James_-_Schoolboy_Facination,compression_l2,compression,2,bass,5.307304421183937,3.80854686155869,-0.08667099292559133,-0.12088982767136969
spleeter,Al_James_-_Schoolboy_Facination,compression_l2,compression,2,other,2.3111540154292056,-0.4066549341186249,0.1425846148283867,0.11870763625709674
spleeter,Al_James_-_Schoolboy_Facination,compression_l3,compression,3,vocals,6.325265319551891,5.175619972110513,-0.11259753085711477,-0.14754941499887853
spleeter,Al_James_-_Schoolboy_Facination,compression_l3,compression,3,drums,3.910258551773648,1.7024913092970315,-0.32825535569033715,-0.5146631530362253
spleeter,Al_James_-_Schoolboy_Facination,compression_l3,compression,3,bass,5.291039538288964,3.7770165528393345,-0.10293587582056407,-0.15242013639072516
spleeter,Al_James_-_Schoolboy_Facination,compression_l3,compression,3,other,2.3798991934588214,-0.34933484500362605,0.21132979285800246,0.1760277253720956
spleeter,Al_James_-_Schoolboy_Facination,compression_l4,compression,4,vocals,6.0911518625486485,4.867085821532127,-0.3467109878603569,-0.4560835655772646
spleeter,Al_James_-_Schoolboy_Facination,compression_l4,compression,4,drums,3.6732015301232845,1.3122512809119593,-0.5653123773407005,-0.9049031814212976
spleeter,Al_James_-_Schoolboy_Facination,compression_l4,compression,4,bass,5.165222839825178,3.589242698384056,-0.22875257428434992,-0.34019399084600366
spleeter,Al_James_-_Schoolboy_Facination,compression_l4,compression,4,other,2.1951370379089132,-0.5468409969455795,0.026567637308094305,-0.021478426569857878
spleeter,Al_James_-_Schoolboy_Facination,delay_l1,delay,1,vocals,6.191601671522752,4.999479858843348,-0.24626117888625298,-0.32368952826604414
spleeter,Al_James_-_Schoolboy_Facination,delay_l1,delay,1,drums,4.144650060807841,2.079773390255148,-0.09386384665614411,-0.1373810720781088
spleeter,Al_James_-_Schoolboy_Facination,delay_l1,delay,1,bass,5.392931683055615,3.924983648350511,-0.0010437310539135325,-0.004453040879548453
spleeter,Al_James_-_Schoolboy_Facination,delay_l1,delay,1,other,2.047129332859706,-0.7416244817387854,-0.12144006774111293,-0.21626191136306372
spleeter,Al_James_-_Schoolboy_Facination,delay_l2,delay,2,vocals,5.8589763971684015,4.555477264549406,-0.578886453240604,-0.7676921225599855
spleeter,Al_James_-_Schoolboy_Facination,delay_l2,delay,2,drums,4.0593033799047795,1.940430429961246,-0.17921052755920552,-0.2767240323720108
spleeter,Al_James_-_Schoolboy_Facination,delay_l2,delay,2,bass,5.363597925692681,3.8842032245152893,-0.030377488416847065,-0.0452334647147703
spleeter,Al_James_-_Schoolboy_Facination,delay_l2,delay,2,other,1.8965243693328468,-0.9336143299968966,-0.2720450312679721,-0.408251759621175
spleeter,Al_James_-_Schoolboy_Facination,delay_l3,delay,3,vocals,5.275028791575393,3.7676886885096463,-1.1628340588336128,-1.5554806985997454
spleeter,Al_James_-_Schoolboy_Facination,delay_l3,delay,3,drums,3.9616766948552735,1.7751148944248443,-0.2768372126087115,-0.4420395679084126
spleeter,Al_James_-_Schoolboy_Facination,delay_l3,delay,3,bass,5.342893057687812,3.8573362172607544,-0.05108235642171621,-0.07210047196930525
