model,song,pair,component,SI_SDR,SI_SAR_like,RMSE
demucs,Al James - Schoolboy Facination,accompaniment,vocals,7.647291661258171,8.336189806831166,0.026033865956049104
demucs,Angels In Amplifiers - I'm Alright,accompaniment,vocals,11.029700338532571,11.359477873011157,0.016876645414837257
demucs,Arise - Run Run Run,accompaniment,vocals,11.51578481284388,11.811804620390323,0.013812656000137946
demucs,BKS - Bulldozer,accompaniment,vocals,3.2579733754615403,4.9378874700950375,0.012216202264578853
demucs,BKS - Too Much,accompaniment,vocals,12.50460029426316,12.741957473721506,0.011821494338415152
demucs,Ben Carrigan - We'll Talk About It All Tonight,accompaniment,vocals,5.285850544139579,6.412182051874833,0.015580814419100622
demucs,Bobby Nobody - Stitch Up,accompaniment,vocals,9.606192145427292,10.057432314165066,0.013272436554118399
demucs,Buitraker - Revo X,accompaniment,vocals,4.956213896047376,6.160084482963187,0.018534339565007406
demucs,Carlos Gonzalez - A Place For Us,accompaniment,vocals,7.795843797432173,8.463267259228616,0.023521601650653423
demucs,Cristina Vane - So Easy,accompaniment,vocals,10.640125781426795,10.999605008130493,0.01593041237036281
demucs,Detsky Sad - Walkie Talkie,accompaniment,vocals,4.632642866912581,5.917089351669691,0.02410584964585771
demucs,Enda Reilly - Cur An Long Ag Seol,accompaniment,vocals,11.703208895881176,11.987125161845748,0.016375689969526496
demucs,Forkupines - Semantics,accompaniment,vocals,7.568481738199093,8.269029879012141,0.01549868507143941
demucs,Georgia Wonder - Siren,accompaniment,vocals,5.4381148571790305,6.530129812717719,0.020970207917596538
demucs,Girls Under Glass - We Feel Alright,accompaniment,vocals,5.655803940030126,6.700355842628633,0.01552551548080679
demucs,Hollow Ground - Ill Fate,accompaniment,vocals,6.986625437491751,7.7789504834639285,0.015419926264782835
demucs,James Elder & Mark M Thompson - The English Actor,accompaniment,vocals,8.01406210764911,8.651061342235064,0.021173169073767508
demucs,Juliet's Rescue - Heartbeats,accompaniment,vocals,8.981279411230773,9.498346100106982,0.013273289348578316
